Model Name,Billing type,Price,Magnification,Grouping
gpt-5-pro-2025-10-06,Pay-per-use - Chat,Suggested price: $ 15.0000 / 1M tokens Completion price: $ 120.0000 / 1M tokens,Prompt multiplier: 7.5 Completion ratio: 8.0000,DefaultSVIP
gpt-3.5-turbo-0301,Pay-per-use - Chat,Suggested price: $ 1.5000 / 1M tokens Completion price: $ 1.9500 / 1M tokens,Prompt multiplier: 0.75 Completion ratio: 1.3000,DefaultSVIP
grok-4-1-fast-reasoning,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.5000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 2.5000,DefaultSVIP
qwen3-next-80b-a3b-thinking,Pay-per-use - Chat,Suggested price: $ 0.1400 / 1M tokens Completion price: $ 1.4000 / 1M tokens,Prompt multiplier: 0.07 Completion ratio: 10.0000,DefaultSVIPChinaOpenSource
cld-3-5-sonnet-20241022,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
gemini-2.5-pro-nothinking,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
qwen3-30b-a3b-instruct-2507,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.8000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 4.0000,DefaultSVIPChinaOpenSource
gemini-2.5-flash,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
glm-4.5v,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 1.5000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 3.0000,DefaultSVIP
o3-mini-2025-01-31-low,Pay-per-use - Chat,Suggested price: $ 1.1000 / 1M tokens Completion price: $ 4.4000 / 1M tokens,Prompt multiplier: 0.55 Completion ratio: 4.0000,DefaultSVIP
qwen3-vl-235b-a22b-instruct,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 3.0000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 10.0000,DefaultSVIPChinaOpenSource
qwen3-vl-plus-2025-09-23,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
tts-1,Pay-per-use - Chat,Suggested price: $ 30.0000 / 1M tokens Completion price: $ 30.0000 / 1M tokens,Prompt multiplier: 15 Completion ratio: 1.0000,DefaultSVIP
gemini-2.5-flash-lite-thinking,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.4000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 4.0000,DefaultSVIP
gpt-5.1-codex-max,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
qwen-max,Pay-per-use - Chat,Suggested price: $ 1.6000 / 1M tokens Completion price: $ 6.4000 / 1M tokens,Prompt multiplier: 0.8 Completion ratio: 4.0000,DefaultSVIP
qwq-32b,Pay-per-use - Chat,Suggested price: $ 0.4000 / 1M tokens Completion price: $ 1.2000 / 1M tokens,Prompt multiplier: 0.2 Completion ratio: 3.0000,DefaultSVIPChinaOpenSource
text-embedding-ada-002,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.1000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 1.0000,DefaultSVIP
claude-3-7-sonnet-20250219,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
gemini-2.5-flash-lite-preview-09-2025,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.4000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 4.0000,DefaultSVIP
qwen3-max-2025-09-23,Pay-per-use - Chat,Suggested price: $ 0.4500 / 1M tokens Completion price: $ 1.8000 / 1M tokens,Prompt multiplier: 0.225 Completion ratio: 4.0000,DefaultSVIP
gemini-2.5-flash-preview,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
gemini-2.5-flash-preview-05-20-thinking,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
gpt-5-chat-latest,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gpt-5.2-chat-latest,Pay-per-use - Chat,Suggested price: $ 1.7500 / 1M tokens Completion price: $ 14.0000 / 1M tokens,Prompt multiplier: 0.875 Completion ratio: 8.0000,DefaultSVIP
gpt-5.2-codex-low,Pay-per-use - Chat,Suggested price: $ 1.7500 / 1M tokens Completion price: $ 14.0000 / 1M tokens,Prompt multiplier: 0.875 Completion ratio: 8.0000,DefaultSVIP
gpt-5.2-low,Pay-per-use - Chat,Suggested price: $ 1.7500 / 1M tokens Completion price: $ 14.0000 / 1M tokens,Prompt multiplier: 0.875 Completion ratio: 8.0000,DefaultSVIP
o4-mini,Pay-per-use - Chat,Suggested price: $ 1.1000 / 1M tokens Completion price: $ 4.4000 / 1M tokens,Prompt multiplier: 0.55 Completion ratio: 4.0000,DefaultSVIP
qwen3-14b,Pay-per-use - Chat,Suggested price: $ 0.1400 / 1M tokens Completion price: $ 1.4000 / 1M tokens,Prompt multiplier: 0.07 Completion ratio: 10.0000,DefaultSVIPChinaOpenSource
deepseek-r1-0528,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 4.0000,DefaultSVIPChinaOpenSource
gemma-3-12b,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.4000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 4.0000,DefaultSVIP
gpt-5.1-codex-mini,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 3.7500 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 3.0000,DefaultSVIP
grok-2-image-1212,Pay-per-use - Chat,Suggested price: $ 60.0000 / 1M tokens ⚠️ Completion price: $ 60.0000 / 1M tokens ⚠️,Prompt multiplier: 30 ⚠️ Completion ratio: 1.0000 ⚠️,DefaultSVIP
qwen-vl-max,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.8000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 4.0000,DefaultSVIP
qwq-plus-latest,Pay-per-use - Chat,Suggested price: $ 0.8000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.4 Completion ratio: 3.0000,DefaultSVIP
tts-1-hd,Pay-per-use - Chat,Suggested price: $ 60.0000 / 1M tokens Completion price: $ 60.0000 / 1M tokens,Prompt multiplier: 30 Completion ratio: 1.0000,DefaultSVIP
claude-3-5-haiku-latest,Pay-per-use - Chat,Suggested price: $ 0.8000 / 1M tokens Completion price: $ 4.0000 / 1M tokens,Prompt multiplier: 0.4 Completion ratio: 5.0000,DefaultSVIP
gpt-5.1-minimal,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 6.2500 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 5.0000,DefaultSVIP
gpt-5.2-pro,Pay-per-use - Chat,Suggested price: $ 21.0000 / 1M tokens Completion price: $ 168.0000 / 1M tokens,Prompt multiplier: 10.5 Completion ratio: 8.0000,DefaultSVIP
gpt-oss-120b-1,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 4.0000,DefaultSVIP
llama-3-1-8b-instruct,Pay-per-use - Chat,Suggested price: $ 0.0300 / 1M tokens Completion price: $ 0.0600 / 1M tokens,Prompt multiplier: 0.015 Completion ratio: 2.0000,DefaultSVIP
qwen-max-longcontext,Pay-per-use - Chat,Suggested price: $ 3.2000 / 1M tokens Completion price: $ 3.2000 / 1M tokens,Prompt multiplier: 1.6 Completion ratio: 1.0000,DefaultSVIP
cld-opus-4-20250514-thinking,Pay-per-use - Chat,Suggested price: $ 15.0000 / 1M tokens Completion price: $ 75.0000 / 1M tokens,Prompt multiplier: 7.5 Completion ratio: 5.0000,DefaultSVIP
grok-3-mini-fast,Pay-per-use - Chat,Suggested price: $ 0.6000 / 1M tokens Completion price: $ 3.6000 / 1M tokens,Prompt multiplier: 0.3 Completion ratio: 6.0000,DefaultSVIP
gpt-5.1-codex-low,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 1.0000,DefaultSVIP
gpt-5.2,Pay-per-use - Chat,Suggested price: $ 1.7500 / 1M tokens Completion price: $ 14.0000 / 1M tokens,Prompt multiplier: 0.875 Completion ratio: 8.0000,DefaultSVIP
llama-4-maverick,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 1.5000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 3.0000,DefaultSVIP
o4-mini-2025-04-16,Pay-per-use - Chat,Suggested price: $ 1.1000 / 1M tokens Completion price: $ 4.4000 / 1M tokens,Prompt multiplier: 0.55 Completion ratio: 4.0000,DefaultSVIP
text-moderation-stable,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.2000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 1.0000,DefaultSVIP
deepseek-v3.2-fast,Pay-per-use - Chat,Suggested price: $ 1.2000 / 1M tokens Completion price: $ 3.6000 / 1M tokens,Prompt multiplier: 0.6 Completion ratio: 3.0000,DefaultSVIPChinaOpenSource
gpt-4.1-mini-2025-04-14,Pay-per-use - Chat,Suggested price: $ 0.4000 / 1M tokens Completion price: $ 1.6000 / 1M tokens,Prompt multiplier: 0.2 Completion ratio: 4.0000,DefaultSVIP
gpt-5-low,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
moonshot-v1-128k,Pay-per-use - Chat,Suggested price: $ 10.0000 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 5 Completion ratio: 1.0000,DefaultSVIP
qwen3-vl-30b-a3b-thinking,Pay-per-use - Chat,Suggested price: $ 0.1200 / 1M tokens Completion price: $ 1.2000 / 1M tokens,Prompt multiplier: 0.06 Completion ratio: 10.0000,DefaultSVIP
gpt-5-codex-mini-high,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 1.0000,DefaultSVIP
o3-mini-low,Pay-per-use - Chat,Suggested price: $ 1.1000 / 1M tokens Completion price: $ 4.4000 / 1M tokens,Prompt multiplier: 0.55 Completion ratio: 4.0000,DefaultSVIP
qwq-plus,Pay-per-use - Chat,Suggested price: $ 0.8000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.4 Completion ratio: 3.0000,DefaultSVIP
claude-opus-4-20250514,Pay-per-use - Chat,Suggested price: $ 15.0000 / 1M tokens Completion price: $ 75.0000 / 1M tokens,Prompt multiplier: 7.5 Completion ratio: 5.0000,DefaultSVIP
gemini-2.5-flash-lite,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.4000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 4.0000,DefaultSVIP
grok-3-mini,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 1.8000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 6.0000,DefaultSVIP
qwen3-max-preview,Pay-per-use - Chat,Suggested price: $ 0.4500 / 1M tokens Completion price: $ 1.8000 / 1M tokens,Prompt multiplier: 0.225 Completion ratio: 4.0000,DefaultSVIP
qwen3-vl-flash,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.8000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 8.0000,DefaultSVIP
claude-3-sonnet-20240229,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
gpt-5-codex-low,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
gpt-5.2-codex-high,Pay-per-use - Chat,Suggested price: $ 1.7500 / 1M tokens Completion price: $ 14.0000 / 1M tokens,Prompt multiplier: 0.875 Completion ratio: 8.0000,DefaultSVIP
gpt-image-1-mini,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 8.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 4.0000,DefaultSVIP
grok-3-deepsearch,Pay-per-use - Chat,Suggested price: $ 4.0000 / 1M tokens Completion price: $ 20.0000 / 1M tokens,Prompt multiplier: 2 Completion ratio: 5.0000,DefaultSVIP
doubao-seed-1-6-flash-250615,Pay-per-use - Chat,Suggested price: $ 0.0300 / 1M tokens Completion price: $ 0.3000 / 1M tokens,Prompt multiplier: 0.015 Completion ratio: 10.0000,DefaultSVIP
gemini-3-flash-preview-nothinking,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 3.0000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 6.0000,DefaultSVIP
gemini-embedding-exp,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.3000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 3.0000,DefaultSVIP
gpt-5.1,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
deepseek-r1-distill-qwen-32b,Pay-per-use - Chat,Suggested price: $ 1.5000 / 1M tokens Completion price: $ 6.0000 / 1M tokens,Prompt multiplier: 0.75 Completion ratio: 4.0000,DefaultSVIPChinaOpenSource
gemini-2.5-flash-preview-05-20,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
gpt-3.5-turbo-16k,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 3.9000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 1.3000,DefaultSVIP
gpt-5.1-2025-11-13,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
o3,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 12.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 4.0000,DefaultSVIP
qwen3-235b-a22b-instruct-2507,Pay-per-use - Chat,Suggested price: $ 1.0000 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.5 Completion ratio: 10.0000,DefaultSVIPChinaOpenSource
qwen3-coder-480b-a35b-instruct,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
qwen3-omni-flash-2025-09-15,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 20.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 10.0000,DefaultSVIP
deepseek-v3,Pay-per-use - Chat,Suggested price: $ 0.2500 / 1M tokens Completion price: $ 1.0000 / 1M tokens,Prompt multiplier: 0.125 Completion ratio: 4.0000,DefaultSVIPChinaOpenSource
gpt-3.5-turbo-16k-0613,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 3.9000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 1.3000,DefaultSVIP
gpt-4.1,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 8.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 4.0000,DefaultSVIP
gpt-4.1-nano,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.4000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 4.0000,DefaultSVIP
gpt-5-mini,Pay-per-use - Chat,Suggested price: $ 0.2500 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 0.125 Completion ratio: 8.0000,DefaultSVIP
dall-e-3,Pay-per-use - Chat,Suggested price: $ 40.0000 / 1M tokens Completion price: $ 40.0000 / 1M tokens,Prompt multiplier: 20 Completion ratio: 1.0000,DefaultSVIP
gemini-embedding-exp-03-07,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.3000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 3.0000,DefaultSVIP
gpt-4o-2024-11-20,Pay-per-use - Chat,Suggested price: $ 2.5000 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 1.25 Completion ratio: 4.0000,DefaultSVIP
grok-2-image-latest,Pay-per-use - Chat,Suggested price: $ 60.0000 / 1M tokens ⚠️ Completion price: $ 60.0000 / 1M tokens ⚠️,Prompt multiplier: 30 ⚠️ Completion ratio: 1.0000 ⚠️,DefaultSVIP
moonshot-v1-auto,Pay-per-use - Chat,Suggested price: $ 10.0000 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 5 Completion ratio: 1.0000,DefaultSVIP
o1-preview,Pay-per-use - Chat,Suggested price: $ 15.0000 / 1M tokens Completion price: $ 60.0000 / 1M tokens,Prompt multiplier: 7.5 Completion ratio: 4.0000,DefaultSVIP
o1-pro,Pay-per-use - Chat,Suggested price: $ 180.0000 / 1M tokens Completion price: $ 720.0000 / 1M tokens,Prompt multiplier: 90 Completion ratio: 4.0000,DefaultSVIP
gpt-5.2-2025-12-11,Pay-per-use - Chat,Suggested price: $ 1.7500 / 1M tokens Completion price: $ 14.0000 / 1M tokens,Prompt multiplier: 0.875 Completion ratio: 8.0000,DefaultSVIP
doubao-seed-1-6-lite-251015,Pay-per-use - Chat,Suggested price: $ 0.0600 / 1M tokens Completion price: $ 0.6000 / 1M tokens,Prompt multiplier: 0.03 Completion ratio: 10.0000,DefaultSVIP
gpt-4-32k,Pay-per-use - Chat,Suggested price: $ 60.0000 / 1M tokens Completion price: $ 120.0000 / 1M tokens,Prompt multiplier: 30 Completion ratio: 2.0000,DefaultSVIP
gpt-4.1-mini,Pay-per-use - Chat,Suggested price: $ 0.4000 / 1M tokens Completion price: $ 1.6000 / 1M tokens,Prompt multiplier: 0.2 Completion ratio: 4.0000,DefaultSVIP
claude-opus-4-5-20251101,Pay-per-use - Chat,Suggested price: $ 5.0000 / 1M tokens Completion price: $ 25.0000 / 1M tokens,Prompt multiplier: 2.5 Completion ratio: 5.0000,DefaultSVIP
qvq-max-latest,Pay-per-use - Chat,Suggested price: $ 1.2000 / 1M tokens Completion price: $ 4.8000 / 1M tokens,Prompt multiplier: 0.6 Completion ratio: 4.0000,DefaultSVIP
gpt-3.5-turbo-0613,Pay-per-use - Chat,Suggested price: $ 1.5000 / 1M tokens Completion price: $ 1.9500 / 1M tokens,Prompt multiplier: 0.75 Completion ratio: 1.3000,DefaultSVIP
gpt-3.5-turbo-1106,Pay-per-use - Chat,Suggested price: $ 1.0000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 0.5 Completion ratio: 2.0000,DefaultSVIP
grok-4,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
grok-4-1-fast-reasoning-latest,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.5000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 2.5000,DefaultSVIP
grok-4-fast-non-reasoning,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.5000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 2.5000,DefaultSVIP
DeepSeek-V3.2-Exp-thinking,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 0.4500 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 1.5000,DefaultSVIP
glm-4.6v,Pay-per-use - Chat,Suggested price: $ 0.2800 / 1M tokens Completion price: $ 0.8400 / 1M tokens,Prompt multiplier: 0.14 Completion ratio: 3.0000,DefaultSVIPChinaOpenSource
gpt-5.1-high,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
o3-deep-research-2025-06-26,Pay-per-use - Chat,Suggested price: $ 12.0000 / 1M tokens Completion price: $ 48.0000 / 1M tokens,Prompt multiplier: 6 Completion ratio: 4.0000,DefaultSVIP
qwen3-omni-flash,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 20.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 10.0000,DefaultSVIP
gemini-2.5-flash-preview-04-17-thinking,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
gemini-3-pro-preview-thinking,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 12.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 6.0000,DefaultSVIP
gpt-4o-mini-tts,Pay-per-use - Chat,Suggested price: $ 1.2000 / 1M tokens Completion price: $ 18.0000 / 1M tokens,Prompt multiplier: 0.6 Completion ratio: 15.0000,DefaultSVIP
gpt-5-minimal,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 1.6000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 8.0000,DefaultSVIP
gpt-5.1-codex-medium,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gpt-5.2-pro-2025-12-11,Pay-per-use - Chat,Suggested price: $ 21.0000 / 1M tokens Completion price: $ 168.0000 / 1M tokens,Prompt multiplier: 10.5 Completion ratio: 8.0000,DefaultSVIP
grok-4-auto-deepsearch,Pay-per-use - Chat,Suggested price: $ 4.0000 / 1M tokens Completion price: $ 20.0000 / 1M tokens,Prompt multiplier: 2 Completion ratio: 5.0000,DefaultSVIP
moonshot-v1-8k-vision-preview,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 1.0000,DefaultSVIP
doubao-seed-1-8-251215,Pay-per-use - Chat,Suggested price: $ 0.1140 / 1M tokens Completion price: $ 1.1400 / 1M tokens,Prompt multiplier: 0.057 Completion ratio: 10.0000,DefaultSVIP
gemini-2.5-flash-lite-nothinking,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.4000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 4.0000,DefaultSVIP
gpt-5.1-low,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 6.2500 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 5.0000,DefaultSVIP
kimi-k2-250711,Pay-per-use - Chat,Suggested price: $ 0.8000 / 1M tokens Completion price: $ 3.2000 / 1M tokens,Prompt multiplier: 0.4 Completion ratio: 4.0000,DefaultSVIP
qwen-long,Pay-per-use - Chat,Suggested price: $ 0.0700 / 1M tokens Completion price: $ 0.2800 / 1M tokens,Prompt multiplier: 0.035 Completion ratio: 4.0000,DefaultSVIP
gemini-2.5-pro,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gpt-3.5-turbo-instruct,Pay-per-use - Chat,Suggested price: $ 1.5000 / 1M tokens Completion price: $ 1.9500 / 1M tokens,Prompt multiplier: 0.75 Completion ratio: 1.3000,DefaultSVIP
longcat-flash-chat,Pay-per-use - Chat,Suggested price: $ 0.2500 / 1M tokens Completion price: $ 0.5000 / 1M tokens,Prompt multiplier: 0.125 Completion ratio: 2.0000,DefaultSVIPChinaOpenSource
omni-moderation-latest,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.2000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 1.0000,DefaultSVIP
