string_id,source_zh,tokenized_zh
800001,通关{0}层解锁,通关⟦PH_2⟧层解锁
2373,我来保护这个村子,我来保护这个村子
2101,我从地狱回来了！,我从地狱回来了！
2012,让你看看我的全力,让你看看我的全力
2031,别小看了我的力量,别小看了我的力量
2441,唉，肚子饿了..,唉，肚子饿了..
2271,嗯、应该不会输啦,嗯、应该不会输啦
233,【精英】或以上,【精英】或以上
231,【中忍】或以上,【中忍】或以上
236,【仙人】或以上,【仙人】或以上
3,除血量、攻击、防御、速度4大基本属性外，还有16个特殊属性。,除血量、攻击、防御、速度4大基本属性外，还有16个特殊属性。
17,VIP等级达到3以上时，可消耗召唤获得的积分直接抽取5星忍者,VIP等级达到3以上时，可消耗召唤获得的积分直接抽取5星忍者
23,忍者在误操作升星后，可在忍者重生中消耗一定道具全额退回资源,忍者在误操作升星后，可在忍者重生中消耗一定道具全额退回资源
24,忍者上阵后，可启动对应阵营的属性增幅，为忍者提高百分比属性,忍者上阵后，可启动对应阵营的属性增幅，为忍者提高百分比属性
27,忍者小队的职业组合十分重要，最好能攻击、防御与治疗三者兼备,忍者小队的职业组合十分重要，最好能攻击、防御与治疗三者兼备
11,开始追讨叛忍时会自动进行扫荡，扫荡关数为昨日最高通关数-3,开始追讨叛忍时会自动进行扫荡，扫荡关数为昨日最高通关数-3
716,据第五代火影所收的委托中，鸣人、佐助和樱三人被分配了B级任务——前往茶之国保护重要人士。三人需帮助山葵一家赢得四年一次轰大社的祭拜仪式中的赛跑比赛，让次郎长老大重获小镇主权。在得知保护对象为刚对三人挑衅并搭讪小樱的飞毛腿森乃伊驮天时，鸣人非常气愤。赛跑比赛开始，伊驮天并未按原有的路线走，他另辟蹊径但被和芥一家聘请的忍者埋伏下并不顺利。三人为此战斗，而绿青葵的出现彻底破坏了伊驮天的计划。鸣人鼓励伊驮天振作起来并背着他跑上了神社，绿青葵依旧出现伊驮天面前挑衅并破坏考试路径，三人努力抵抗下，鸣人在最后关头一记螺旋丸打破了雷电之剑。伊驮天不负众望跑向终点赢得了比赛。,据第五代火影所收的委托中，鸣人、佐助和樱三人被分配了B级任务——前往茶之国保护重要人士。三人需帮助山葵一家赢得四年一次轰大社的祭拜仪式中的赛跑比赛，让次郎长老大重获小镇主权。在得知保护对象为刚对三人挑衅并搭讪小樱的飞毛腿森乃伊驮天时，鸣人非常气愤。赛跑比赛开始，伊驮天并未按原有的路线走，他另辟蹊径但被和芥一家聘请的忍者埋伏下并不顺利。三人为此战斗，而绿青葵的出现彻底破坏了伊驮天的计划。鸣人鼓励伊驮天振作起来并背着他跑上了神社，绿青葵依旧出现伊驮天面前挑衅并破坏考试路径，三人努力抵抗下，鸣人在最后关头一记螺旋丸打破了雷电之剑。伊驮天不负众望跑向终点赢得了比赛。
703,随着在无限月读的世界中不断深入，鸣人终于在破碎的木叶村中找到了一切的始作俑者——宇智波带土。只需要对记忆完成最后的修正，陷入幻术的所有人都将忘记这是虚幻的世界，永远沉睡在这完美的梦境之中。而带土一直思念的琳，也可以在这个世界中存在，只需要这一个原因，就足以让带土不顾一切地完成这个空前绝后的术。现在阻挡在他面前的，就只剩下鸣人和他的几个伙伴。即便他们选择反抗，带土也愿意为他们赐予安宁的美梦，于是他在梦境中创造出了九喇嘛，要用它的力量对所有人的记忆进行最后的修正。这是鸣人的宿命之战，更是决定忍界命运之战。,随着在无限月读的世界中不断深入，鸣人终于在破碎的木叶村中找到了一切的始作俑者——宇智波带土。只需要对记忆完成最后的修正，陷入幻术的所有人都将忘记这是虚幻的世界，永远沉睡在这完美的梦境之中。而带土一直思念的琳，也可以在这个世界中存在，只需要这一个原因，就足以让带土不顾一切地完成这个空前绝后的术。现在阻挡在他面前的，就只剩下鸣人和他的几个伙伴。即便他们选择反抗，带土也愿意为他们赐予安宁的美梦，于是他在梦境中创造出了九喇嘛，要用它的力量对所有人的记忆进行最后的修正。这是鸣人的宿命之战，更是决定忍界命运之战。
713,为了完成晓组织的最高命令寻找第四代火影的遗产——漩涡鸣人，宇智波鼬带着鬼鲛重返木叶忍者村。阿斯玛和红被安排跟踪监视鼬与鬼鲛的行动，却不料被发现，被打得节节败退。卡卡西及时出现却也因陷入宇智波鼬的万花筒写轮眼而精神涣散，直到迈特凯的相助，鼬和鬼鲛选择撤退继续寻找鸣人。另一边，自来也带着鸣人单独修炼，而佐助得知鼬已出现并在寻找鸣人。然而，鼬比佐助先行找到鸣人并打算强行带走。佐助开启千鸟向鼬发起攻击，鸣人极力释放九尾查克拉但却被鬼鲛的鲛肌吸收。自来也及时出现，并用岩宿蛤蟆食道困住了鼬，但鼬最后使用天照逃脱。,为了完成晓组织的最高命令寻找第四代火影的遗产——漩涡鸣人，宇智波鼬带着鬼鲛重返木叶忍者村。阿斯玛和红被安排跟踪监视鼬与鬼鲛的行动，却不料被发现，被打得节节败退。卡卡西及时出现却也因陷入宇智波鼬的万花筒写轮眼而精神涣散，直到迈特凯的相助，鼬和鬼鲛选择撤退继续寻找鸣人。另一边，自来也带着鸣人单独修炼，而佐助得知鼬已出现并在寻找鸣人。然而，鼬比佐助先行找到鸣人并打算强行带走。佐助开启千鸟向鼬发起攻击，鸣人极力释放九尾查克拉但却被鬼鲛的鲛肌吸收。自来也及时出现，并用岩宿蛤蟆食道困住了鼬，但鼬最后使用天照逃脱。
715,鸣人、佐助和樱为探索卡卡西面具下的素颜，决定请卡卡西吃拉面的时候等他揭开面罩，但被井野他们突然出现打断了三人的计划。他们无论集体跟踪还是单独跟踪卡卡西都以失败告终。曾被卡卡西因救助少女而用绳掉在树下的三个忍者想尽办法给卡卡西下药，但也都失败了。佐助建议邀请卡卡西吃日料，泡澡堂都无法揭露卡卡西的模样。最后鸣人、佐助和樱实在没有办法便偷走澡堂内的三个忍者服装，想要与之战斗，却被卡卡西一眼识破。三人直戳了当询问后 ，卡卡西揭开了面罩——面罩之下还是面罩。,鸣人、佐助和樱为探索卡卡西面具下的素颜，决定请卡卡西吃拉面的时候等他揭开面罩，但被井野他们突然出现打断了三人的计划。他们无论集体跟踪还是单独跟踪卡卡西都以失败告终。曾被卡卡西因救助少女而用绳掉在树下的三个忍者想尽办法给卡卡西下药，但也都失败了。佐助建议邀请卡卡西吃日料，泡澡堂都无法揭露卡卡西的模样。最后鸣人、佐助和樱实在没有办法便偷走澡堂内的三个忍者服装，想要与之战斗，却被卡卡西一眼识破。三人直戳了当询问后 ，卡卡西揭开了面罩——面罩之下还是面罩。
723,当纲手意识到水木似乎与大蛇丸有关联、派阿斯玛和红到木叶重刑间审讯水木，却囚犯们受水木的教唆对他们发起攻击。待鸣人赶到现场，发现看守也已倒地。另一边静音带着豚豚找到水木踪迹，因被雷神风神兄弟打败，豚豚回到村里报知火影，鸣人无意知晓后与伊鲁卡前往支援。可水木对于伊鲁卡的苦口婆心并未动摇，鹿丸的及时赶到控制了风神雷神的人行动。伊鲁卡与水木作战后，水木的未婚妻椿出现了。因为椿的加入，伊鲁卡和鸣人发现了水木越狱的真正原因——水木想到得到大蛇丸的力量。,当纲手意识到水木似乎与大蛇丸有关联、派阿斯玛和红到木叶重刑间审讯水木，却囚犯们受水木的教唆对他们发起攻击。待鸣人赶到现场，发现看守也已倒地。另一边静音带着豚豚找到水木踪迹，因被雷神风神兄弟打败，豚豚回到村里报知火影，鸣人无意知晓后与伊鲁卡前往支援。可水木对于伊鲁卡的苦口婆心并未动摇，鹿丸的及时赶到控制了风神雷神的人行动。伊鲁卡与水木作战后，水木的未婚妻椿出现了。因为椿的加入，伊鲁卡和鸣人发现了水木越狱的真正原因——水木想到得到大蛇丸的力量。
701,第四次忍界大战，整个忍界破天荒地团结一心，组成忍界联军，为了阻止斑和带土的惊天阴谋而战。几经危难，漩涡鸣人终于站到了敌人的面前。然而，命运的齿轮并未因他和伙伴们的战斗而停歇。传说中的最强禁术——无限月读终于发动，整个忍界都受到影响，坠入了梦境之中。带土曾说，无限月读的世界没有纷争，也没有不幸，所有人都能得到完美的幸福。然而展现在鸣人面前的，却是一个混乱而崩坏的世界！虚假的梦境并不能带来真正的幸福，必须要让大家从无限月读的世界中清醒过来！,第四次忍界大战，整个忍界破天荒地团结一心，组成忍界联军，为了阻止斑和带土的惊天阴谋而战。几经危难，漩涡鸣人终于站到了敌人的面前。然而，命运的齿轮并未因他和伙伴们的战斗而停歇。传说中的最强禁术——无限月读终于发动，整个忍界都受到影响，坠入了梦境之中。带土曾说，无限月读的世界没有纷争，也没有不幸，所有人都能得到完美的幸福。然而展现在鸣人面前的，却是一个混乱而崩坏的世界！虚假的梦境并不能带来真正的幸福，必须要让大家从无限月读的世界中清醒过来！
732,鸣人被纲手分配的D级任务而不得不中断修炼。任务是由火之国附近的火之寺委托的，属于寺院的墓以及南真、西户、东宇和北音墓被盗墓贼盗取，大和他们需查明盗墓贼的身份。而在大和队长一行人分头寻找火之寺的领路人时，鸣人误打误撞发现了隐藏坟墓并偶遇了空。大和怀疑被偷走的墓会被拿去另有用途也许与团藏有关，此事对于地陆大师和阿斯玛而言，是曾为守护士十二忍的伙伴墓被盗。毫无戒备之心的鸣人和空陷入敌人的圈套，而眼睁睁看着棺木从眼前消失。,鸣人被纲手分配的D级任务而不得不中断修炼。任务是由火之国附近的火之寺委托的，属于寺院的墓以及南真、西户、东宇和北音墓被盗墓贼盗取，大和他们需查明盗墓贼的身份。而在大和队长一行人分头寻找火之寺的领路人时，鸣人误打误撞发现了隐藏坟墓并偶遇了空。大和怀疑被偷走的墓会被拿去另有用途也许与团藏有关，此事对于地陆大师和阿斯玛而言，是曾为守护士十二忍的伙伴墓被盗。毫无戒备之心的鸣人和空陷入敌人的圈套，而眼睁睁看着棺木从眼前消失。
708,抵达终点之塔后，伊鲁卡宣布三人顺利通过了第二场考试。由于通过考试的人数过多，火影在第三场测试前进行了一场预选赛。预选赛采取1V1的方式，胜者晋级。药师兜还未开始便选择弃权。佐助对阵赤胴铠中利用自己创造的体术招式击败了赤胴铠；樱对阵死对头井野，在中招心转之术时被鸣人唤醒，精疲力尽的两人使出最后一击，双方同时倒地导致平局。鸣人对阵牙和赤丸，即使被打得无还手之力也并不放弃，并使用反间计和多重影分身之术打败了赤丸和牙。,抵达终点之塔后，伊鲁卡宣布三人顺利通过了第二场考试。由于通过考试的人数过多，火影在第三场测试前进行了一场预选赛。预选赛采取1V1的方式，胜者晋级。药师兜还未开始便选择弃权。佐助对阵赤胴铠中利用自己创造的体术招式击败了赤胴铠；樱对阵死对头井野，在中招心转之术时被鸣人唤醒，精疲力尽的两人使出最后一击，双方同时倒地导致平局。鸣人对阵牙和赤丸，即使被打得无还手之力也并不放弃，并使用反间计和多重影分身之术打败了赤丸和牙。
855,从湿骨林祖师蛞蝓仙人身体中分出的分裂体。因为具有分裂的能力，成群结队出现的它们通常很难被人分清彼此，所以多以「蛞蝓」统称，但被纲手通灵出来的蛞蝓真名其实是「活蝓」。忍界大战中与蛤蟆文太，万蛇一起助力三忍驰骋沙场屡立战功。其能力可以大量分裂后附着在伤者身上进行大规模的治疗，属于后勤部队的同时其使用的酸液攻击同样杀伤力不容小觑。只是性格温柔的活蝓很少主动展开攻击，相比之下它更希望能够为人治愈伤口，抚平疼痛。,从湿骨林祖师蛞蝓仙人身体中分出的分裂体。因为具有分裂的能力，成群结队出现的它们通常很难被人分清彼此，所以多以「蛞蝓」统称，但被纲手通灵出来的蛞蝓真名其实是「活蝓」。忍界大战中与蛤蟆文太，万蛇一起助力三忍驰骋沙场屡立战功。其能力可以大量分裂后附着在伤者身上进行大规模的治疗，属于后勤部队的同时其使用的酸液攻击同样杀伤力不容小觑。只是性格温柔的活蝓很少主动展开攻击，相比之下它更希望能够为人治愈伤口，抚平疼痛。
719,第五代火影纲手给鹿丸下达了第一个中忍任务——带回佐助。鹿丸召集鸣人、丁次、犬冢牙、宁次四人前往追回佐助。佐助为了使咒印的力量增强，吞下醒心丸，呈现假死状态。音忍们把佐助放进棺材，并下了封印，运往大蛇丸的处所。由于鸣人五人的意图提前被音忍察觉而被次郎坊的法术关在土壁的结界中。五人突破结界后，丁次留下对阵次郎坊。在追击到音忍过程中发现，鸣人和鹿丸被鬼同丸的忍术“蜘蛛束缚术”抓住。宁次与鬼同丸上演了拉锯战。,第五代火影纲手给鹿丸下达了第一个中忍任务——带回佐助。鹿丸召集鸣人、丁次、犬冢牙、宁次四人前往追回佐助。佐助为了使咒印的力量增强，吞下醒心丸，呈现假死状态。音忍们把佐助放进棺材，并下了封印，运往大蛇丸的处所。由于鸣人五人的意图提前被音忍察觉而被次郎坊的法术关在土壁的结界中。五人突破结界后，丁次留下对阵次郎坊。在追击到音忍过程中发现，鸣人和鹿丸被鬼同丸的忍术“蜘蛛束缚术”抓住。宁次与鬼同丸上演了拉锯战。
704,这是一场惊天动地的战斗，鸣人和他的老朋友九喇嘛不得不展开殊死一战，然而最终鸣人失败了。带土的无限月读终于完成，所有人的记忆都被修正。而鸣人也忘记了一切，变回了那个几年前刚从忍者学校毕业的少年。再次与小樱佐助相遇，再次在卡卡西老师的带领之下组成了第七班，再次经历了波之国与再不斩和白惊险的一战。一切又如轮回一般再度重现，然而这不过是一场梦的开端……,这是一场惊天动地的战斗，鸣人和他的老朋友九喇嘛不得不展开殊死一战，然而最终鸣人失败了。带土的无限月读终于完成，所有人的记忆都被修正。而鸣人也忘记了一切，变回了那个几年前刚从忍者学校毕业的少年。再次与小樱佐助相遇，再次在卡卡西老师的带领之下组成了第七班，再次经历了波之国与再不斩和白惊险的一战。一切又如轮回一般再度重现，然而这不过是一场梦的开端……
724,木叶丸他们终于成为了可以执行任务的小组，而鸣人与自来也的修行终于结束回到了木叶村。为了测试鸣人的修行成果，火影特地安排了卡卡西来和鸣人小樱对决。这回的试炼还是从卡卡西身上抢夺铃铛，并使用了写轮眼，以前同样的方法都已不奏效。鸣人的进步极大，小樱怪力也变更强，鸣人想使用千年杀报复回卡卡西却失败了，最后鸣人和小樱顺利的摘到了卡卡西身上的铃铛。,木叶丸他们终于成为了可以执行任务的小组，而鸣人与自来也的修行终于结束回到了木叶村。为了测试鸣人的修行成果，火影特地安排了卡卡西来和鸣人小樱对决。这回的试炼还是从卡卡西身上抢夺铃铛，并使用了写轮眼，以前同样的方法都已不奏效。鸣人的进步极大，小樱怪力也变更强，鸣人想使用千年杀报复回卡卡西却失败了，最后鸣人和小樱顺利的摘到了卡卡西身上的铃铛。
856,佩恩六道当中畜生道所使用的众多通灵兽之一，也是最为特殊的一个。与畜生道其他攻击能力惊人的通灵兽不同，石熊猫只有单纯的防御能力。然而其坚硬的石质皮肤在防御方面却是能与传说中的尾兽守鹤相媲美。任何常规的忍术都不可能击破它的防御，因此毫无进攻能力的它才会被,佩恩六道当中畜生道所使用的众多通灵兽之一，也是最为特殊的一个。与畜生道其他攻击能力惊人的通灵兽不同，石熊猫只有单纯的防御能力。然而其坚硬的石质皮肤在防御方面却是能与传说中的尾兽守鹤相媲美。任何常规的忍术都不可能击破它的防御，因此毫无进攻能力的它才会被
2113,找上门的挑战就必须彻底解决,找上门的挑战就必须彻底解决
7,技能分为主动和被动。[沉默]阻止主动技能释放,技能分为主动和被动。⟦PH_1⟧阻止主动技能释放
2072,就让你见识一下...我认真的模样吧...！,就让你见识一下...我认真的模样吧...！
2061,我绝对...绝对不会输的...！,我绝对...绝对不会输的...！
